join_field,ref_percent,scls_label,state_class_id,age_category,canopy_category,model_code,bps_name,ref_label,cur_scls_count,bps_count,bps_acres,ref_scls_acres,cur_scls_acres,cur_percent
13442_51_Agriculture,0,NA,NA,NA,NA,13442_51,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,Agriculture,480,51237,11395,0,107,0.936822999
13442_51_Agriculture,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
13442_51_Water,0,NA,NA,NA,NA,13442_51,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,Water,NA,51237,11395,0,NA,NA
13442_51_UN,0,NA,NA,NA,NA,13442_51,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,UN,17954,51237,11395,0,3993,35.04108359
13442_51_UE,0,NA,NA,NA,NA,13442_51,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,UE,5084,51237,11395,0,1131,9.922516931
13620_51_63_64_65_66_A,13,A,Early1:ALL,Early1,ALL,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,A,1786,275957,61371,7978,397,0.647202282
13620_51_63_64_65_66_B,13,B,Mid1:CLS,Mid1,CLS,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,B,166832,275957,61371,7978,37103,60.45579565
13620_51_63_64_65_66_C,48,C,Mid2:OPN,Mid2,OPN,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,C,15456,275957,61371,29458,3437,5.6008726
13620_51_63_64_65_66_D,26,D,Late1:CLS,Late1,CLS,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,D,NA,275957,61371,15957,NA,NA
13620_51_63_64_65_66_E,NA,NA,NA,NA,NA,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,E,NA,275957,61371,NA,NA,NA
13620_51_63_64_65_66_Agriculture,0,NA,NA,NA,NA,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Agriculture,26758,275957,61371,0,5951,9.696438213
13620_51_63_64_65_66_Agriculture,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
13620_51_63_64_65_66_Water,0,NA,NA,NA,NA,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Water,NA,275957,61371,0,NA,NA
13620_51_63_64_65_66_UN,0,NA,NA,NA,NA,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,UN,NA,275957,61371,0,NA,NA
13620_51_63_64_65_66_UE,0,NA,NA,NA,NA,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,UE,34925,275957,61371,0,7767,12.65595727
13622_41_50_A,17,A,Early1:ALL,Early1,ALL,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,A,55,2221,494,84,12,2.476361999
13622_41_50_B,18,B,Mid1:CLS,Mid1,CLS,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,B,612,2221,494,89,136,27.55515534
13622_41_50_C,16,C,Mid2:CLS,Mid2,CLS,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,C,NA,2221,494,79,NA,NA
13622_41_50_D,18,D,Late1:CLS,Late1,CLS,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,D,123,2221,494,89,27,5.538045925
13622_41_50_E,31,E,Late2:CLS,Late2,CLS,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,E,5,2221,494,153,1,0.225123818
13622_41_50_Agriculture,0,NA,NA,NA,NA,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,Agriculture,91,2221,494,0,20,4.097253489
13622_41_50_Agriculture,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
13622_41_50_Water,0,NA,NA,NA,NA,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,Water,NA,2221,494,0,NA,NA
13622_41_50_UN,0,NA,NA,NA,NA,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,UN,373,2221,494,0,83,16.79423683
13622_41_50_UE,0,NA,NA,NA,NA,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,UE,143,2221,494,0,32,6.438541198
13651_51_A,7,A,Early1:CLS,Early1,CLS,13651_51,Boreal White Spruce-Fir-Hardwood Forest - Inland,A,2645,428800,95363,6675,588,0.616837687
13651_51_B,22,B,Early2:CLS,Early2,CLS,13651_51,Boreal White Spruce-Fir-Hardwood Forest - Inland,B,20,428800,95363,20980,4,0.004664179
13651_51_C,7,C,Mid1:CLS,Mid1,CLS,13651_51,Boreal White Spruce-Fir-Hardwood Forest - Inland,C,6636,428800,95363,6675,1476,1.547574627
13651_51_D,64,D,Late1:CLS,Late1,CLS,13651_51,Boreal White Spruce-Fir-Hardwood Forest - Inland,D,353074,428800,95363,61032,78522,82.34001866
13651_51_E,NA,NA,NA,NA,NA,13651_51,Boreal White Spruce-Fir-Hardwood Forest - Inland,E,NA,428800,95363,NA,NA,NA
13651_51_Agriculture,0,NA,NA,NA,NA,13651_51,Boreal White Spruce-Fir-Hardwood Forest - Inland,Agriculture,6573,428800,95363,0,1462,1.532882463
13651_51_Agriculture,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
